id,series,period,dataValue,status,units,subject,groupName
204,BDCQ.SEA1FA,2014.09,93789,F,Number,Business Data Collection - BDC,Industry by employment variable
205,BDCQ.SEA1FA,2014.12,98149,F,Number,Business Data Collection - BDC,Industry by employment variable
206,BDCQ.SEA1FA,2015.03,97793,F,Number,Business Data Collection - BDC,Industry by employment variable
207,BDCQ.SEA1FA,2015.06,98348,F,Number,Business Data Collection - BDC,Industry by employment variable
208,BDCQ.SEA1FA,2015.09,98026,F,Number,Business Data Collection - BDC,Industry by employment variable
209,BDCQ.SEA1FA,2015.12,99348,F,Number,Business Data Collection - BDC,Industry by employment variable
210,BDCQ.SEA1FA,2016.03,99941,F,Number,Business Data Collection - BDC,Industry by employment variable
211,BDCQ.SEA1FA,2016.06,101204,F,Number,Business Data Collection - BDC,Industry by employment variable
212,BDCQ.SEA1FA,2016.09,99631,F,Number,Business Data Collection - BDC,Industry by employment variable
213,BDCQ.SEA1FA,2016.12,101175,F,Number,Business Data Collection - BDC,Industry by employment variable
214,BDCQ.SEA1FA,2017.03,101660,F,Number,Business Data Collection - BDC,Industry by employment variable
215,BDCQ.SEA1FA,2017.06,102745,F,Number,Business Data Collection - BDC,Industry by employment variable
216,BDCQ.SEA1FA,2017.09,102918,F,Number,Business Data Collection - BDC,Industry by employment variable
217,BDCQ.SEA1FA,2017.12,104790,F,Number,Business Data Collection - BDC,Industry by employment variable
218,BDCQ.SEA1FA,2018.03,106407,F,Number,Business Data Collection - BDC,Industry by employment variable
219,BDCQ.SEA1FA,2018.06,105577,F,Number,Business Data Collection - BDC,Industry by employment variable
220,BDCQ.SEA1FA,2018.09,105618,F,Number,Business Data Collection - BDC,Industry by employment variable
221,BDCQ.SEA1FA,2018.12,107718,F,Number,Business Data Collection - BDC,Industry by employment variable
222,BDCQ.SEA1FA,2019.03,106746,F,Number,Business Data Collection - BDC,Industry by employment variable
223,BDCQ.SEA1FA,2019.06,107199,F,Number,Business Data Collection - BDC,Industry by employment variable
224,BDCQ.SEA1FA,2019.09,105826,F,Number,Business Data Collection - BDC,Industry by employment variable
225,BDCQ.SEA1FA,2019.12,108096,F,Number,Business Data Collection - BDC,Industry by employment variable
226,BDCQ.SEA1FA,2020.03,107888,F,Number,Business Data Collection - BDC,Industry by employment variable
227,BDCQ.SEA1FA,2020.06,106219,F,Number,Business Data Collection - BDC,Industry by employment variable
228,BDCQ.SEA1FA,2020.09,103881,F,Number,Business Data Collection - BDC,Industry by employment variable
229,BDCQ.SEA1GA,2011.06,173404,F,Number,Business Data Collection - BDC,Industry by employment variable
230,BDCQ.SEA1GA,2011.09,174660,F,Number,Business Data Collection - BDC,Industry by employment variable
231,BDCQ.SEA1GA,2011.12,179502,F,Number,Business Data Collection - BDC,Industry by employment variable
232,BDCQ.SEA1GA,2012.03,179680,F,Number,Business Data Collection - BDC,Industry by employment variable
233,BDCQ.SEA1GA,2012.06,177608,F,Number,Business Data Collection - BDC,Industry by employment variable
234,BDCQ.SEA1GA,2012.09,176170,F,Number,Business Data Collection - BDC,Industry by employment variable
235,BDCQ.SEA1GA,2012.12,181541,F,Number,Business Data Collection - BDC,Industry by employment variable
236,BDCQ.SEA1GA,2013.03,180982,F,Number,Business Data Collection - BDC,Industry by employment variable
237,BDCQ.SEA1GA,2013.06,178814,F,Number,Business Data Collection - BDC,Industry by employment variable
238,BDCQ.SEA1GA,2013.09,175946,F,Number,Business Data Collection - BDC,Industry by employment variable
239,BDCQ.SEA1GA,2013.12,183650,F,Number,Business Data Collection - BDC,Industry by employment variable
240,BDCQ.SEA1GA,2014.03,182034,F,Number,Business Data Collection - BDC,Industry by employment variable
241,BDCQ.SEA1GA,2014.06,179779,F,Number,Business Data Collection - BDC,Industry by employment variable
242,BDCQ.SEA1GA,2014.09,179050,F,Number,Business Data Collection - BDC,Industry by employment variable
243,BDCQ.SEA1GA,2014.12,185361,F,Number,Business Data Collection - BDC,Industry by employment variable
244,BDCQ.SEA1GA,2015.03,186086,F,Number,Business Data Collection - BDC,Industry by employment variable
245,BDCQ.SEA1GA,2015.06,183864,F,Number,Business Data Collection - BDC,Industry by employment variable
246,BDCQ.SEA1GA,2015.09,183327,F,Number,Business Data Collection - BDC,Industry by employment variable
247,BDCQ.SEA1GA,2015.12,189862,F,Number,Business Data Collection - BDC,Industry by employment variable
248,BDCQ.SEA1GA,2016.03,191045,F,Number,Business Data Collection - BDC,Industry by employment variable
249,BDCQ.SEA1GA,2016.06,189350,F,Number,Business Data Collection - BDC,Industry by employment variable
250,BDCQ.SEA1GA,2016.09,189032,F,Number,Business Data Collection - BDC,Industry by employment variable
251,BDCQ.SEA1GA,2016.12,196202,F,Number,Business Data Collection - BDC,Industry by employment variable
252,BDCQ.SEA1GA,2017.03,196952,F,Number,Business Data Collection - BDC,Industry by employment variable
253,BDCQ.SEA1GA,2017.06,194595,F,Number,Business Data Collection - BDC,Industry by employment variable
254,BDCQ.SEA1GA,2017.09,193926,F,Number,Business Data Collection - BDC,Industry by employment variable
255,BDCQ.SEA1GA,2017.12,200403,F,Number,Business Data Collection - BDC,Industry by employment variable
256,BDCQ.SEA1GA,2018.03,198648,F,Number,Business Data Collection - BDC,Industry by employment variable
257,BDCQ.SEA1GA,2018.06,196372,F,Number,Business Data Collection - BDC,Industry by employment variable
258,BDCQ.SEA1GA,2018.09,194468,F,Number,Business Data Collection - BDC,Industry by employment variable
259,BDCQ.SEA1GA,2018.12,202633,F,Number,Business Data Collection - BDC,Industry by employment variable
260,BDCQ.SEA1GA,2019.03,199795,F,Number,Business Data Collection - BDC,Industry by employment variable
261,BDCQ.SEA1GA,2019.06,197763,F,Number,Business Data Collection - BDC,Industry by employment variable
262,BDCQ.SEA1GA,2019.09,197753,F,Number,Business Data Collection - BDC,Industry by employment variable
263,BDCQ.SEA1GA,2019.12,206752,F,Number,Business Data Collection - BDC,Industry by employment variable
264,BDCQ.SEA1GA,2020.03,203022,F,Number,Business Data Collection - BDC,Industry by employment variable
265,BDCQ.SEA1GA,2020.06,200669,F,Number,Business Data Collection - BDC,Industry by employment variable
266,BDCQ.SEA1GA,2020.09,197326,F,Number,Business Data Collection - BDC,Industry by employment variable
267,BDCQ.SEA1HA,2011.06,103801,F,Number,Business Data Collection - BDC,Industry by employment variable
268,BDCQ.SEA1HA,2011.09,107456,F,Number,Business Data Collection - BDC,Industry by employment variable
269,BDCQ.SEA1HA,2011.12,110973,F,Number,Business Data Collection - BDC,Industry by employment variable
270,BDCQ.SEA1HA,2012.03,110305,F,Number,Business Data Collection - BDC,Industry by employment variable
271,BDCQ.SEA1HA,2012.06,107976,F,Number,Business Data Collection - BDC,Industry by employment variable
272,BDCQ.SEA1HA,2012.09,107651,F,Number,Business Data Collection - BDC,Industry by employment variable
273,BDCQ.SEA1HA,2012.12,111647,F,Number,Business Data Collection - BDC,Industry by employment variable
274,BDCQ.SEA1HA,2013.03,112218,F,Number,Business Data Collection - BDC,Industry by employment variable
275,BDCQ.SEA1HA,2013.06,111183,F,Number,Business Data Collection - BDC,Industry by employment variable
276,BDCQ.SEA1HA,2013.09,110574,F,Number,Business Data Collection - BDC,Industry by employment variable
277,BDCQ.SEA1HA,2013.12,115148,F,Number,Business Data Collection - BDC,Industry by employment variable
278,BDCQ.SEA1HA,2014.03,116013,F,Number,Business Data Collection - BDC,Industry by employment variable
279,BDCQ.SEA1HA,2014.06,113997,F,Number,Business Data Collection - BDC,Industry by employment variable
280,BDCQ.SEA1HA,2014.09,113381,F,Number,Business Data Collection - BDC,Industry by employment variable
281,BDCQ.SEA1HA,2014.12,119580,F,Number,Business Data Collection - BDC,Industry by employment variable
282,BDCQ.SEA1HA,2015.03,120452,F,Number,Business Data Collection - BDC,Industry by employment variable
283,BDCQ.SEA1HA,2015.06,120660,F,Number,Business Data Collection - BDC,Industry by employment variable
284,BDCQ.SEA1HA,2015.09,119106,F,Number,Business Data Collection - BDC,Industry by employment variable
